AgeBand,OtherAgeBand,Contacts
Age00To09,Age00To09,7.03093981
Age00To09,Age10To19,2.094937919
Age00To09,Age20To29,2.154924413
Age00To09,Age30To39,2.417286199
Age00To09,Age40To49,1.102611874
Age00To09,Age50To59,0.686258379
Age00To09,Age60To69,0.396783381
Age00To09,Age70To79,0.131656634
Age00To09,Age80Plus,0.131656634
Age10To19,Age00To09,2.203095235
Age10To19,Age10To19,13.40071071
Age10To19,Age20To29,3.182901711
Age10To19,Age30To39,1.55537079
Age10To19,Age40To49,1.258037899
Age10To19,Age50To59,0.396381483
Age10To19,Age60To69,0.177579782
Age10To19,Age70To79,0.088003424
Age10To19,Age80Plus,0.088003424
Age20To29,Age00To09,1.075058612
Age20To29,Age10To19,3.752392367
Age20To29,Age20To29,9.980561942
Age20To29,Age30To39,2.948798933
Age20To29,Age40To49,1.295160338
Age20To29,Age50To59,0.651232638
Age20To29,Age60To69,0.14950635
Age20To29,Age70To79,0.078835118
Age20To29,Age80Plus,0.078835118
Age30To39,Age00To09,1.076032569
Age30To39,Age10To19,0.89822768
Age30To39,Age20To29,2.660371222
Age30To39,Age30To39,3.015944378
Age30To39,Age40To49,1.25198606
Age30To39,Age50To59,0.652167941
Age30To39,Age60To69,0.267280993
Age30To39,Age70To79,0.082644497
Age30To39,Age80Plus,0.082644497
Age40To49,Age00To09,0.43731103
Age40To49,Age10To19,0.671891485
Age40To49,Age20To29,1.188356095
Age40To49,Age30To39,1.380519085
Age40To49,Age40To49,1.017300445
Age40To49,Age50To59,0.403982623
Age40To49,Age60To69,0.15795953
Age40To49,Age70To79,0.069898238
Age40To49,Age80Plus,0.069898238
Age50To59,Age00To09,0.312277593
Age50To59,Age10To19,0.43382016
Age50To59,Age20To29,1.283162817
Age50To59,Age30To39,0.966453533
Age50To59,Age40To49,0.706463109
Age50To59,Age50To59,0.562022927
Age50To59,Age60To69,0.228086963
Age50To59,Age70To79,0.065681384
Age50To59,Age80Plus,0.065681384
Age60To69,Age00To09,0.199747965
Age60To69,Age10To19,0.17621318
Age60To69,Age20To29,0.632305435
Age60To69,Age30To39,0.687865118
Age60To69,Age40To49,0.442065842
Age60To69,Age50To59,0.36138402
Age60To69,Age60To69,0.280982073
Age60To69,Age70To79,0.097835304
Age60To69,Age80Plus,0.097835304
Age70To79,Age00To09,0.085499177
Age70To79,Age10To19,0.163126678
Age70To79,Age20To29,0.263260294
Age70To79,Age30To39,0.324955032
Age70To79,Age40To49,0.277969762
Age70To79,Age50To59,0.174626554
Age70To79,Age60To69,0.216688522
Age70To79,Age70To79,0.122915814
Age70To79,Age80Plus,0.122915814
Age80Plus,Age00To09,0.085499177
Age80Plus,Age10To19,0.163126678
Age80Plus,Age20To29,0.263260294
Age80Plus,Age30To39,0.324955032
Age80Plus,Age40To49,0.277969762
Age80Plus,Age50To59,0.174626554
Age80Plus,Age60To69,0.216688522
Age80Plus,Age70To79,0.122915814
Age80Plus,Age80Plus,0.122915814
